,total_CV,agri_CV,chem_CV,fmt_CV,nfmt_CV,gld_CV
2017-09-01,15851.9158735,3302.7794774,2598.8809968,4517.5810592,3932.5130764,1500.1612637
2017-09-04,15934.9547211,3373.0833159,2671.7136949,4429.1492696,3922.645378,1538.3630627
2017-09-05,16046.5794736,3407.7668811,2647.8711376,4458.8229426,3983.8630022,1548.2555101
2017-09-06,15855.1090809,3418.7838129,2647.9477677,4475.4586566,3788.068614,1524.8502297
2017-09-07,15602.5764632,3383.740242,2565.0498833,4454.7716388,3700.6611303,1498.3535688
2017-09-08,15237.9600984,3271.2041987,2474.8625609,4455.607264,3565.6862612,1470.5998136
2017-09-11,14977.8362487,3255.998311,2373.0019397,4365.0499178,3544.4119466,1439.3741336
2017-09-12,15216.2983784,3266.0168728,2411.8554595,4526.0692954,3603.8347818,1408.5219689
2017-09-13,15067.7976634,3278.9273086,2364.853042,4403.8284184,3597.0405516,1423.1483428
2017-09-14,14984.6637849,3182.2906578,2280.1678755,4563.821794,3534.6714995,1423.7119581
2017-09-15,14525.582087,3141.3291084,2200.6090728,4362.4461898,3392.7259733,1428.4717427
2017-09-18,14438.7158558,3119.7803518,2123.9939727,4338.185553,3443.3882874,1413.3676909
2017-09-19,14323.2905992,3165.8832719,2124.473321,4188.330313,3469.9514429,1374.6522504
2017-09-20,14568.3039194,3125.4765072,2169.8585039,4261.9378818,3646.4901299,1364.5408966
2017-09-21,14552.595001,3166.0071236,2117.102003,4356.1332588,3562.4538883,1350.8987273
2017-09-22,14238.4987941,3263.2500069,2067.9388224,4120.5744546,3481.8164036,1304.9191066
2017-09-25,14289.410266,3248.5777063,2099.7726314,4170.7326012,3461.2187498,1309.1085773
2017-09-26,14132.2571521,3224.3831023,2059.4450464,4084.0114344,3459.0315211,1305.3860479
2017-09-27,14149.5259594,3201.1716611,2013.2555018,4168.9988144,3457.9077937,1308.1921884
2017-09-28,13542.2992969,3001.7283873,1848.8042341,4013.2372134,3411.0034083,1267.5260538
2017-09-29,12857.2418021,2810.6032544,1726.58133,3734.6650876,3336.7193132,1248.6728169
2017-10-09,13140.5297711,2837.9591102,1791.9255542,3792.618988,3441.8176825,1276.2084362
2017-10-10,13744.4067958,2966.4364073,1856.6351613,4064.0024406,3559.9324721,1297.4003145
2017-10-11,13938.0839815,3006.923805,1904.0902388,4049.3538356,3667.5852132,1310.1308889
2017-10-12,14432.6622923,3009.6344996,1909.853156,4380.4038448,3823.3788698,1309.3919221
2017-10-13,14600.94524,3084.2265623,1904.8916066,4430.2738788,3872.01529,1309.5379023
2017-10-16,14800.2927553,3094.0291551,1930.7907742,4406.6925782,4021.1526729,1347.6275749
2017-10-17,14655.9789817,3137.6151795,1959.2794027,4313.9976974,3937.7897278,1307.2969743
2017-10-18,14587.6832158,3154.9729,1934.7995269,4215.999952,3976.7382146,1305.1726223
